公司名稱,發電廠名稱,所在縣市,機組(座),裝置容量(瓩),商轉年度,類別
欣晶能源股份有限公司,後潭太陽光電發電廠,台南市柳營區,,999.79,111,太陽能系統發電
天禽能源股份有限公司,天禽第一期太陽能電廠,台南市七股區,,"19,567.20",111,太陽能系統發電
玉衡能源股份有限公司,慈濟一期電廠,花蓮縣花蓮市,,"1,991.60",111,太陽能系統發電
晟鑫能源有限公司,慈濟二期電廠,花蓮縣花蓮市,,943.8,111,太陽能系統發電
天衝能源股份有限公司,天衝(第一階段)太陽能電廠,台南市七股區,,"93,595.20",111,太陽能系統發電
天衝能源股份有限公司,天衝(第二階段)太陽能電廠,台南市七股區,,"22,915.20",112,太陽能系統發電
得禾一能源股份有限公司,一德金屬TW190995太陽光電發電廠,台南市永康區,,159.12,111,太陽能系統發電
元昱太陽光電股份有限公司,屏東縣東港鎮三西和農場滯洪池太陽光電發電廠,屏東縣東港鎮,,"3,822.00",111,太陽能系統發電
元昱太陽光電股份有限公司,嘉義縣布袋鎮貴舍2滯洪池水面浮力式太陽光電發電廠(水面型),嘉義縣布袋鎮,,"7,098.00",112,太陽能系統發電
元昱太陽光電股份有限公司,嘉義縣義竹鄉新庄農場滯洪池水面浮力式太陽光電發電廠(水面型),嘉義縣義竹鄉,,"19,500.00",112,太陽能系統發電
開陽智慧能源股份有限公司,開陽第一期(第一階段)太陽能電廠,屏東縣佳冬鄉,,658.7,111,太陽能系統發電
開陽智慧能源股份有限公司,開陽第一期(第二階段)太陽能電廠,屏東縣佳冬鄉,,646.8,111,太陽能系統發電
開陽智慧能源股份有限公司,開陽第二期太陽能電廠,屏東縣佳冬鄉,,"4,893.70",111,太陽能系統發電
開陽智慧能源股份有限公司,開陽第三期(第2-1階段)太陽能電廠,屏東縣佳冬鄉,,"3,172.40",111,太陽能系統發電
開陽智慧能源股份有限公司,開陽第三期(第2-2階段)太陽能電廠,屏東縣佳冬鄉,,306.6,111,太陽能系統發電
開陽智慧能源股份有限公司,開陽第三期(第一階段)太陽能電廠,屏東縣佳冬鄉,,"14,044.10",111,太陽能系統發電
瑤光智慧能源股份有限公司,瑤光第一期(第一階段)太陽能電廠,屏東縣佳冬鄉,,"1,052.25",111,太陽能系統發電
瑤光智慧能源股份有限公司,瑤光第一期(第二階段)太陽能電廠,屏東縣佳冬鄉,,"2,791.69",111,太陽能系統發電
瑤光智慧能源股份有限公司,瑤光第二期太陽能電廠,屏東縣佳冬鄉,,"2,504.60",111,太陽能系統發電
瑤光智慧能源股份有限公司,瑤光第三期(第一階段)太陽能電廠,屏東縣佳冬鄉,,"9,555.37",111,太陽能系統發電
瑤光智慧能源股份有限公司,瑤光第三期(第二階段)太陽能電廠,屏東縣佳冬鄉,,"7,206.10",111,太陽能系統發電
昱興能源股份有限公司,桃園大園PCHOME屋頂型太陽光電發電廠,桃園市大園區,,"2,202.96",111,太陽能系統發電
日集綠能股份有限公司,日集北勢寮地面型太陽光電發電廠,台南市東山區,,915.12,111,太陽能系統發電
日集綠能股份有限公司,日集潭頂段地面型太陽光電發電廠,台南市新市區,,818.4,111,太陽能系統發電
日集綠能股份有限公司,日集洛陽段太陽光電發電廠,屏東縣鹽埔鄉,,"1,180.48",112,太陽能系統發電
日集綠能股份有限公司,日集隆安段太陽光電發電廠,屏東縣枋寮鄉,,"1,043.46",112,太陽能系統發電
遠勁綠能股份有限公司,遠勁永豐餘大甲經營屋頂型電廠,台中市大甲區,,915.12,111,太陽能系統發電
遠勁綠能股份有限公司,中華紙漿久堂廠太陽光電發電廠,高雄市大樹區,,"1,916.64",111,太陽能系統發電
遠勁綠能股份有限公司,高雄永豐餘太陽光電發電廠,高雄市阿蓮區,,"1,999.20",111,太陽能系統發電
旭愛能源股份有限公司,旭愛能源普威廠,宜蘭縣蘇澳鎮頂寮段0662-0030地號,,909.025,111,太陽能系統發電
旭愛能源股份有限公司,旭愛能源宜蘭廠,宜蘭縣五結鄉,,"1,098.02",111,太陽能系統發電
旭愛能源股份有限公司,旭愛能源有益廠,高雄市永安區,,499.275,112,太陽能系統發電
台灣艾貴綠能股份有限公司,艾貴綠能田寮發電廠,台南市鹽水區,,"41,864.40",111,太陽能系統發電
晶成能源股份有限公司,台中太平民宅第一期太陽光電發電系統,台中市太平區,,19.84,111,太陽能系統發電
旭創能源有限公司,旭創能源桃苗汽車中華路場,桃園市八德區,,366.39,111,太陽能系統發電
旭創能源有限公司,旭創能源桃苗介壽路場,桃園市八德區,,289,111,太陽能系統發電
東迪能源股份有限公司,新竹縣竹東鎮99.753瓩,新竹縣竹東鎮,,99.753,111,太陽能系統發電
東迪能源股份有限公司,新竹縣竹東鎮198.6瓩,新竹縣竹東鎮,,198.6,111,太陽能系統發電
東迪能源股份有限公司,嘉義市東區191.27瓩,嘉義市東區,,191.27,111,太陽能系統發電
東迪能源股份有限公司,臺中市梧棲區488.61瓩,台中市梧棲區,,488.61,111,太陽能系統發電
東迪能源股份有限公司,桃園市觀音區349.06瓩,桃園市觀音區,,349.06,111,太陽能系統發電
東迪能源股份有限公司,桃園市楊梅區338.83瓩,桃園市楊梅區,,338.83,111,太陽能系統發電
東迪能源股份有限公司,桃園市新屋區156.465瓩,桃園市新屋區,,156.465,111,太陽能系統發電
東迪能源股份有限公司,高雄市大社區257.4瓩,高雄市大社區,,257.4,111,太陽能系統發電
東迪能源股份有限公司,臺南市山上區248瓩,台南市山上區,,248,111,太陽能系統發電
東迪能源股份有限公司,臺南市官田區317.7瓩,台南市官田區,,317.7,111,太陽能系統發電
嘉創能源股份有限公司,嘉義市東區保成路410 號太陽光電發電廠,嘉義市東區,,13.86,111,太陽能系統發電
佳煌科技有限公司,彰化佳煌太陽能發電廠,彰化縣彰化市,,165.66,111,太陽能系統發電
玉樹能源股份有限公司,玉樹能源第1-2期太陽光電發電廠,屏東縣高樹鄉,,"30,614.80",111,太陽能系統發電
玉樹能源股份有限公司,玉樹能源第一期太陽光電發電廠,屏東縣高樹鄉,,"8,428.80",111,太陽能系統發電
冠越科技工程股份有限公司,見得行二期太陽光電發電廠,台中市梧棲區,,"1,378.00",111,太陽能系統發電
冠越科技工程股份有限公司,進安太陽光電發電廠,台中市梧棲區,,"1,476.00",111,太陽能系統發電
冠越科技工程股份有限公司,鎔利太陽光電發電廠,嘉義縣梅山區,,844.13,111,太陽能系統發電
冠越科技工程股份有限公司,興隆興太陽光電發電廠,嘉義縣大林鎮,,669.6,112,太陽能系統發電
玉山太陽能有限公司,玉山太陽光電發電廠,台南市北門區,,801.99,112,太陽能系統發電
欣亞能源有限公司,台南市學甲區宅子港段165-123地號太陽光電發電廠,台南市學甲區,,498.98,112,太陽能系統發電
天方能源科技股份有限公司,「高雄市楠梓污水下水道系統建設計畫案」之「附屬事業計畫-地面型太陽光電發電廠」,高雄市楠梓區,,"3,946.80",112,太陽能系統發電
國軒電力股份有限公司,鹿港鎮第一公墓,彰化縣鹿港鎮,,"8,744.34",112,太陽能系統發電
欣芳苑能源科技股份有限公司,漢寶農畜南北場太陽能電廠,彰化縣芳苑鄉,,"1,424.61",112,太陽能系統發電
芳苑能源科技股份有限公司,芳苑能源-漢寶第一型太陽能電廠,彰化縣芳苑鄉,,"1,552.32",112,太陽能系統發電
睿禾控股股份有限公司,後港國小（頂山校區）太陽光電發電廠,台南市七股區,,66.98,112,太陽能系統發電
碩力光能股份有限公司,雲林新興發電廠,雲林縣台西鄉,,"271,968.00",112,太陽能系統發電
永梁股份有限公司,鳳山淨水廠西清水池太陽光電發電廠,高雄市小港區,,"2,939.16",112,太陽能系統發電
永梁股份有限公司,鳳山淨水廠東清水池太陽光電發電廠,高雄市小港區,,"2,846.76",112,太陽能系統發電
十源工程有限公司,十源388地號太陽光電發電廠,嘉義縣東石鄉,,494.125,112,太陽能系統發電
星曄綠能股份有限公司,烏山頭水庫水面型太陽光電發電系統,台南市官田區,,13705.2,112,太陽能系統發電
中威風力發電股份有限公司,臺中市大甲大安(一期)風力發電廠,臺中市大安區、大甲區,13,"29,900",98、101,風力發電
中威風力發電股份有限公司,臺中市大甲大安(二期)風力發電廠,臺中市大安區、大甲區,8,"18,400",98,風力發電
中威風力發電股份有限公司,臺中市大甲大安(三期)風力發電廠,臺中市大安區、大甲區,3,"6,900",101,風力發電
中威風力發電股份有限公司,臺中市大豐風力發電廠,臺中市大安區、大甲區,8,"18,400",101、102,風力發電
中威風力發電股份有限公司,臺中市風力發電廠#68,臺中市大安區、大甲區,1,"2,300",101,風力發電
通威風力發電股份有限公司,通苑一期風力發電廠,苗栗縣通霄鎮,6,"13,800",103,風力發電
通威風力發電股份有限公司,通苑二期風力發電廠,苗栗縣通霄鎮,3,"6,900",103,風力發電
通威風力發電股份有限公司,通苑房里北風力發電廠,苗栗縣通霄鎮,1,"2,300",103,風力發電
通威風力發電股份有限公司,苗栗縣通霄鎮設置風力發電廠,苗栗縣通霄鎮,2,"4,600",105,風力發電
通威風力發電股份有限公司,臺中市大安風力發電廠#63,臺中縣大安區、大甲區,1,"2,300",105,風力發電
通威風力發電股份有限公司,臺中市大甲風力發電廠#67,臺中縣大安區、大甲區,1,"2,300",105,風力發電
通威風力發電股份有限公司,臺中市大豐二期風力發電廠#38A,臺中縣大安區、大甲區,1,"2,300",104,風力發電
通威風力發電股份有限公司,臺中市大安風力發電廠(第29B號機組),臺中縣大安區、大甲區,1,"2,300",107,風力發電
通威風力發電股份有限公司,臺中市大豐三期風力發電廠#70,臺中縣大安區、大甲區,1,"2,300",107,風力發電
龍威風力發電股份有限公司,後龍一期風力發電廠,苗栗縣後龍鎮,14,"30,800",102,風力發電
